frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,1300.06,782.442,1236.07,786.616
000000000000,209.0,658.311,185.08,658.502
000000000000,0.0,0.0,0.0,0.0
000000000000,1881.78,658.353,1877.9,658.24
000000000000,1095.5,598.192,1083.53,594.351
000000000005,1272.09,790.734,1232.0,786.596
000000000005,0.0,0.0,0.0,0.0
000000000005,822.907,638.29,822.821,638.288
000000000005,1111.55,594.196,1107.46,590.301
000000000005,1881.82,658.426,1881.71,658.285
000000000010,1263.87,802.773,1231.9,786.613
000000000010,0.0,0.0,0.0,0.0
000000000010,1913.86,646.352,1913.87,650.267
000000000010,822.917,638.264,826.847,646.202
000000000015,1268.19,814.775,1231.98,782.682
000000000015,0.0,0.0,0.0,0.0
000000000015,1877.59,658.501,1881.8,658.246
000000000015,826.779,638.342,822.801,638.298
000000000015,1139.8,606.162,1135.77,598.245
000000000020,1272.13,814.772,1223.82,790.816
000000000020,0.0,0.0,0.0,0.0
000000000020,0.0,0.0,1913.85,662.353
000000000020,237.096,690.29,205.013,690.422
000000000020,830.847,638.342,822.864,638.234
000000000025,229.135,690.429,201.033,686.357
000000000025,1272.07,814.827,1183.84,818.772
000000000025,1881.71,666.334,1913.86,658.392
000000000025,0.0,0.0,0.0,0.0
000000000025,834.777,638.308,818.955,634.227
000000000030,1272.0,814.797,1175.8,822.951
000000000030,0.0,0.0,0.0,0.0
000000000030,1877.67,658.333,1877.74,658.445
000000000030,826.836,634.216,822.818,630.378
000000000035,1276.1,814.604,1175.91,838.74
000000000035,0.0,0.0,1841.53,654.412
000000000035,1869.65,654.316,0.0,0.0
000000000035,0.0,0.0,0.0,0.0
000000000040,1267.99,818.85,1199.78,810.793
000000000040,1841.53,638.299,1833.63,650.331
000000000040,0.0,0.0,0.0,0.0
000000000040,0.0,0.0,1913.85,594.088
000000000040,0.0,0.0,0.0,0.0
000000000045,1191.8,826.894,1167.89,818.924
000000000045,1773.48,650.261,0.0,0.0
000000000045,1913.88,622.267,1913.87,622.127
000000000045,1280.04,590.218,1271.97,590.165
000000000045,0.0,0.0,0.0,0.0
000000000045,0.0,0.0,0.0,0.0
000000000050,1167.82,846.977,1199.73,838.783
000000000050,1749.49,650.164,1813.48,642.205
000000000050,1312.17,602.131,1300.27,598.138
000000000050,1913.88,626.417,1913.9,626.27
000000000050,0.0,0.0,0.0,0.0
000000000055,0.0,0.0,0.0,0.0
000000000055,1753.38,642.249,1749.4,626.421
000000000055,1332.26,610.133,1332.1,610.231
000000000055,0.0,0.0,0.0,0.0
000000000060,1749.46,650.335,1697.26,634.272
000000000065,1745.4,658.351,1685.35,658.209
000000000065,0.0,0.0,0.0,0.0
000000000070,1717.4,670.396,1701.29,658.364
000000000070,0.0,0.0,0.0,0.0
000000000075,1701.17,658.395,1709.21,658.283
000000000075,0.0,0.0,0.0,0.0
000000000080,1685.05,654.161,1689.27,654.161
000000000080,0.0,0.0,0.0,0.0
000000000080,0.0,0.0,0.0,0.0
000000000085,1103.51,878.822,1047.45,882.857
000000000085,1685.08,654.279,1693.27,654.22
000000000085,0.0,0.0,0.0,0.0
000000000085,0.0,0.0,0.0,0.0
000000000085,1484.57,598.126,1460.47,598.151
000000000085,1913.97,638.289,1913.96,626.28
000000000085,0.0,0.0,0.0,0.0
000000000085,0.0,0.0,0.0,0.0
000000000090,1047.54,895.072,1063.43,879.087
000000000090,963.283,983.262,1035.33,1027.31
000000000090,1689.33,654.282,1693.18,654.264
000000000090,0.0,0.0,0.0,0.0
000000000090,0.0,0.0,0.0,0.0
000000000090,1500.66,598.155,1512.69,602.271
000000000090,834.842,622.223,0.0,0.0
000000000090,1913.95,638.221,1913.95,626.273
000000000095,1689.3,654.207,1685.21,654.26
000000000095,0.0,0.0,0.0,0.0
000000000095,1047.43,919.05,1027.36,1027.3
000000000095,0.0,0.0,1075.41,882.9
000000000095,842.879,626.356,818.871,626.273
000000000095,1520.81,594.184,1516.75,598.204
000000000095,0.0,0.0,0.0,0.0
000000000095,1913.95,646.323,1913.95,634.301
000000000100,1063.36,995.22,1039.49,1003.18
000000000100,1701.19,646.293,1681.31,642.329
000000000100,1524.78,594.148,1524.83,594.173
000000000100,0.0,0.0,0.0,0.0
000000000100,846.837,630.332,822.826,630.282
000000000100,152.915,654.379,196.929,662.333
000000000100,76.7072,678.309,100.773,682.383
000000000100,0.0,0.0,0.0,0.0
000000000100,1913.96,642.263,1913.97,626.257
000000000100,0.0,0.0,0.0,0.0
000000000105,1047.49,983.199,1079.5,987.211
000000000105,1556.88,594.008,1572.9,598.163
000000000105,0.0,0.0,0.0,0.0
000000000105,1693.21,646.23,1681.19,646.24
000000000105,838.894,630.191,822.859,622.347
000000000105,48.8641,690.483,0.0,0.0
000000000105,0.0,0.0,0.0,0.0
000000000105,0.0,0.0,204.94,654.323
000000000105,1913.97,650.326,1913.97,638.287
000000000105,0.0,0.0,0.0,0.0
000000000105,0.0,0.0,0.0,0.0
000000000110,1047.58,979.181,947.319,899.022
000000000110,0.0,0.0,0.0,0.0
000000000110,0.0,0.0,1195.72,943.243
000000000110,1697.28,642.276,1681.1,650.166
000000000110,100.757,690.318,48.5884,694.482
000000000110,1585.01,594.065,1584.79,594.092
000000000110,846.79,634.337,838.833,638.202
000000000110,205.066,682.329,152.926,666.431
000000000115,1063.44,959.124,943.18,915.046
000000000115,104.794,690.299,48.5537,698.448
000000000115,0.0,0.0,0.0,0.0
000000000115,0.0,0.0,1203.87,946.969
000000000115,205.03,686.471,152.904,678.306
000000000115,1689.23,630.222,1665.05,618.201
000000000115,846.86,630.298,846.87,642.203
000000000115,0.0,0.0,0.0,0.0
000000000115,0.0,0.0,1913.97,614.248
000000000120,205.054,682.347,148.974,666.379
000000000120,0.0,0.0,1199.75,943.202
000000000120,0.0,0.0,429.709,1075.36
000000000120,1075.64,935.107,943.059,915.134
000000000120,1685.34,634.299,1677.15,630.32
000000000120,104.795,690.399,48.5061,698.456
000000000120,842.832,638.246,822.924,634.292
000000000120,0.0,0.0,0.0,0.0
000000000120,0.0,0.0,237.02,622.265
000000000125,1075.49,903.038,943.266,915.213
000000000125,200.975,662.307,148.924,658.504
000000000125,104.787,686.423,44.8287,694.348
000000000125,1689.31,638.317,1680.99,650.19
000000000125,0.0,0.0,1199.89,943.132
000000000125,301.455,1043.59,393.6,1043.42
000000000125,838.829,638.261,822.812,634.25
000000000125,0.0,0.0,237.096,618.271
000000000130,201.109,678.326,148.943,666.336
000000000130,1071.3,887.105,943.059,915.147
000000000130,1215.84,943.153,1207.85,943.192
000000000130,1713.19,594.105,1661.18,602.165
000000000130,305.344,1011.27,413.667,1035.26
000000000130,842.701,634.346,818.97,642.238
000000000130,104.677,686.401,44.712,694.524
000000000130,1913.9,626.1,1913.91,618.203
000000000135,1207.98,947.105,1203.89,943.062
000000000135,301.439,1007.31,349.485,975.14
000000000135,192.969,662.295,144.9,658.399
000000000135,951.151,915.21,1047.39,874.791
000000000135,1713.19,594.175,1665.15,606.207
000000000135,0.0,0.0,44.6518,698.544
000000000135,830.881,642.282,818.946,634.258
000000000135,0.0,0.0,0.0,0.0
000000000135,1913.85,622.258,1913.86,622.236
000000000140,196.983,678.448,144.883,670.421
000000000140,1027.27,887.074,943.141,914.948
000000000140,1183.84,910.855,1251.9,903.053
000000000140,301.383,979.428,305.351,975.272
000000000140,1721.28,598.195,1661.2,622.081
000000000140,0.0,0.0,1745.42,594.203
000000000140,76.5423,698.39,44.5321,706.401
000000000140,826.835,642.23,842.734,638.247
000000000140,1913.89,622.153,1913.9,618.194
000000000145,0.0,0.0,1263.94,878.943
000000000145,1035.23,883.142,947.25,915.036
000000000145,201.025,678.323,140.841,674.436
000000000145,293.249,919.093,313.428,939.01
000000000145,1693.24,602.129,1661.09,610.271
000000000145,1913.89,610.208,1913.85,618.167
000000000145,52.6341,698.389,44.6907,702.397
000000000145,0.0,0.0,1809.5,598.304
000000000145,842.847,638.28,826.8,638.306
000000000150,200.919,670.308,140.981,670.367
000000000150,345.395,907.038,349.435,891.011
000000000150,1191.82,883.11,1239.94,874.859
000000000150,1035.32,894.947,995.254,911.161
000000000150,1685.35,622.185,1673.12,626.19
000000000150,1913.88,622.149,1913.84,626.127
000000000150,48.6148,698.514,44.5283,702.39
000000000150,1813.57,598.236,1813.48,594.336
000000000150,0.0,0.0,0.0,0.0
000000000150,826.864,634.216,830.807,634.307
000000000155,201.034,686.422,141.041,678.329
000000000155,329.438,878.913,369.443,858.879
000000000155,1175.76,887.05,1235.97,874.891
000000000155,1043.5,894.897,1063.36,899.042
000000000155,1693.14,626.184,1669.17,626.238
000000000155,44.6421,694.546,0.0,0.0
000000000155,838.784,642.328,818.852,638.312
000000000155,0.0,0.0,1813.61,594.331
000000000155,1837.61,590.167,0.0,0.0
000000000160,1015.34,882.861,1135.72,878.749
000000000160,1689.16,646.219,1673.11,642.225
000000000160,321.335,878.87,377.504,842.718
000000000160,1175.88,874.892,1239.97,878.814
000000000160,201.103,682.308,140.952,662.431
000000000160,846.839,646.266,818.843,646.319
000000000160,0.0,0.0,44.5278,706.422
000000000160,0.0,0.0,0.0,0.0
000000000160,0.0,0.0,0.0,0.0
000000000165,337.616,854.944,377.635,842.894
000000000165,1183.81,858.949,1236.06,870.865
000000000165,1031.4,878.879,1139.62,870.968
000000000165,1709.26,674.356,1681.26,658.366
000000000165,196.982,678.304,140.947,662.409
000000000165,1913.88,614.144,1913.87,618.18
000000000165,0.0,0.0,44.5346,702.373
000000000165,838.809,634.325,838.763,638.264
000000000170,1039.35,874.893,1135.5,866.924
000000000170,197.0,678.329,144.937,666.331
000000000170,1175.71,846.8,1236.1,862.844
000000000170,333.567,814.644,393.486,814.705
000000000170,1717.39,642.292,1685.11,658.26
000000000170,1913.88,618.206,1913.87,622.246
000000000170,0.0,0.0,44.6513,690.575
000000000170,838.861,638.259,838.805,642.206
000000000175,196.981,678.352,144.772,666.405
000000000175,1717.48,678.333,1680.97,658.256
000000000175,345.519,806.786,389.624,810.683
000000000175,1187.75,846.995,1236.03,854.896
000000000175,1043.3,858.924,1135.71,866.964
000000000175,1913.9,614.227,1913.88,622.34
000000000175,44.6845,690.472,0.0,0.0
000000000175,822.896,638.245,846.751,638.316
000000000180,1721.28,682.273,1677.15,654.351
000000000180,193.018,670.388,140.906,674.375
000000000180,333.562,802.788,389.553,790.73
000000000180,1047.36,850.847,1139.69,854.879
000000000180,1171.69,846.952,1191.74,846.712
000000000180,1913.9,614.186,1913.88,626.164
000000000180,44.6599,690.394,0.0,0.0
000000000180,846.836,638.316,826.842,642.242
000000000185,1721.4,678.394,1681.06,658.361
000000000185,184.999,662.407,140.827,670.369
000000000185,333.487,794.655,381.587,782.544
000000000185,1031.35,846.706,1139.73,855.011
000000000185,44.6459,694.483,44.7285,694.356
000000000185,1167.8,850.899,0.0,0.0
000000000185,1913.9,614.153,1913.89,622.336
000000000185,838.863,642.257,830.83,646.21
000000000185,0.0,0.0,0.0,0.0
000000000185,0.0,0.0,0.0,0.0
000000000190,185.064,666.347,140.841,666.376
000000000190,1729.26,658.468,1681.1,654.23
000000000190,337.318,786.848,389.648,782.581
000000000190,1027.38,846.896,0.0,0.0
000000000190,1171.75,846.727,1143.64,850.995
000000000190,1913.89,614.233,1913.88,626.133
000000000190,44.5606,694.357,48.4779,690.569
000000000190,850.829,646.243,822.885,650.273
000000000190,0.0,0.0,0.0,0.0
000000000190,0.0,0.0,0.0,0.0
000000000195,189.026,678.388,141.033,666.448
000000000195,1729.26,666.311,1681.03,654.432
000000000195,353.501,786.709,397.552,774.734
000000000195,1023.41,850.748,1139.66,851.037
000000000195,1163.8,842.833,0.0,0.0
000000000195,1913.89,618.12,1913.88,626.17
000000000195,850.847,646.303,822.834,650.34
000000000195,44.5981,690.539,44.5624,694.42
000000000195,0.0,0.0,0.0,0.0
000000000200,1721.38,678.291,1677.21,658.305
000000000200,365.539,786.607,397.718,782.56
000000000200,1147.74,838.72,0.0,0.0
000000000200,1023.38,847.009,1119.65,846.817
000000000200,200.931,682.296,144.899,666.408
000000000200,44.6823,690.408,44.5572,690.516
000000000200,1913.89,614.183,1913.88,622.344
000000000200,850.737,646.324,818.969,650.274
000000000200,0.0,0.0,0.0,0.0
000000000205,197.007,678.371,144.811,666.38
000000000205,1721.41,678.326,1677.22,658.282
000000000205,1135.43,814.627,1159.69,818.841
000000000205,1019.38,846.841,0.0,0.0
000000000205,369.359,786.53,397.689,778.68
000000000205,1913.88,614.251,1913.87,626.137
000000000205,76.8259,690.341,44.7739,702.444
000000000205,846.716,646.301,822.917,654.134
000000000210,1745.22,654.256,1685.37,662.345
000000000210,193.059,674.428,140.926,670.381
000000000210,365.625,786.554,397.694,778.532
000000000210,1015.44,846.87,1067.47,818.764
000000000210,1103.52,806.714,1167.88,814.834
000000000210,1913.89,618.167,1913.88,626.212
000000000210,80.7609,690.404,10.5377,694.486
000000000210,822.842,638.228,842.783,646.278
000000000215,204.971,678.307,144.868,678.286
000000000215,365.637,786.565,401.646,766.657
000000000215,1015.33,846.829,1011.4,842.72
000000000215,1095.43,814.614,1163.8,822.717
000000000215,1745.39,646.329,1701.22,662.45
000000000215,84.708,698.389,10.4768,706.438
000000000215,850.813,646.253,818.964,650.378
000000000215,1913.89,614.184,1913.88,622.235
000000000220,204.857,674.306,140.746,670.364
000000000220,365.643,782.634,429.817,758.669
000000000220,1749.28,650.293,1709.13,658.475
