frame,x,y,prob
81,302,1136,0.20485225
128,159,1220,0.27505973
129,159,1220,0.20986818
130,159,1219,0.55100006
131,159,1219,0.5114324
132,159,1219,0.316829
134,159,1220,0.20047016
136,159,1220,0.33586133
137,159,1220,0.26959863
138,159,1220,0.36495674
139,159,1220,0.28279427
140,159,1221,0.48981765
141,159,1221,0.5052817
142,159,1220,0.30826676
143,159,1220,0.5266169
144,159,1220,0.5764099
145,159,1221,0.5297613
146,159,1220,0.5981269
147,159,1221,0.5969615
148,159,1220,0.5800977
149,159,1221,0.6095257
150,159,1221,0.6089875
151,159,1221,0.6089836
152,159,1220,0.56605786
153,159,1221,0.5969688
154,159,1220,0.5946287
155,159,1220,0.59462196
156,159,1220,0.58800215
157,159,1220,0.5942112
158,159,1220,0.5975185
159,159,1221,0.60769355
160,159,1221,0.60813105
161,159,1221,0.60331
162,159,1220,0.59025514
163,159,1220,0.5567839
164,159,1220,0.55892843
165,159,1220,0.5688017
166,159,1220,0.511189
167,159,1220,0.4562389
168,159,1220,0.3819806
169,159,1220,0.42733002
170,159,1221,0.43007457
171,159,1221,0.57414913
172,159,1220,0.4845242
173,159,1220,0.4561375
174,159,1220,0.30718067
175,159,1220,0.21383333
178,297,1148,0.25371608
178,159,1220,0.20516258
179,297,1149,0.22312482
180,297,1149,0.22585629
181,297,1148,0.21162644
182,297,1148,0.2108325
182,159,1220,0.20431149
183,301,1160,0.24773572
184,301,1160,0.24815315
185,297,1149,0.2752293
186,297,1149,0.29547504
187,297,1148,0.32030293
187,159,1220,0.2062439
188,297,1148,0.3109231
188,159,1220,0.21786076
189,297,1148,0.29487845
189,159,1220,0.21845807
190,297,1149,0.25865936
190,159,1220,0.22878972
191,297,1149,0.28896767
191,159,1221,0.25937536
192,297,1149,0.27816504
192,159,1221,0.2557481
193,297,1149,0.28345758
193,159,1221,0.2534338
194,297,1149,0.2694631
194,159,1221,0.23666628
195,297,1148,0.25977108
195,159,1221,0.22237201
196,297,1148,0.25473097
196,159,1221,0.2015332
197,297,1148,0.29921725
197,159,1220,0.20550771
198,297,1148,0.21357968
200,297,1148,0.20489916
201,297,1148,0.22617763
202,297,1148,0.23514298
203,297,1148,0.23183443
204,297,1148,0.21313356
205,297,1148,0.21597938
206,297,1148,0.27008
207,297,1148,0.27217463
208,297,1148,0.338031
209,297,1148,0.34991857
210,297,1148,0.3331647
211,297,1148,0.31341186
211,159,1220,0.20320742
212,297,1149,0.29001617
212,159,1220,0.22073407
213,297,1149,0.26272678
213,159,1220,0.22612137
214,297,1149,0.2658782
214,159,1220,0.23523864
215,297,1149,0.26786348
215,159,1220,0.21624579
216,297,1148,0.31206396
217,297,1148,0.30887643
218,297,1148,0.31249118
219,297,1148,0.26291654
220,297,1148,0.29814395
221,297,1148,0.30378103
222,297,1148,0.29606873
223,297,1148,0.27642238
224,297,1149,0.2760993
224,159,1220,0.20203318
225,297,1148,0.3020307
226,297,1148,0.32275555
227,297,1148,0.32911366
228,297,1148,0.32145807
229,297,1148,0.35136685
230,297,1148,0.34154296
231,297,1148,0.27284983
232,297,1148,0.2614082
233,297,1148,0.24380776
234,297,1148,0.25734875
235,297,1148,0.23895168
236,297,1148,0.27386516
237,297,1149,0.3237454
238,297,1148,0.35253516
239,297,1148,0.36371633
240,297,1148,0.3562658
241,297,1148,0.33250093
242,297,1148,0.3063142
243,297,1148,0.26885033
244,297,1148,0.25908056
245,297,1148,0.27642623
246,297,1148,0.27750704
246,159,1220,0.20609227
247,297,1148,0.28795514
248,297,1148,0.27253127
249,297,1148,0.25852573
250,297,1148,0.2507231
251,297,1148,0.24340083
252,297,1148,0.23739597
253,297,1148,0.22279434
254,297,1148,0.20914312
257,297,1148,0.2070638
259,297,1149,0.2060622
262,297,1148,0.21736342
263,297,1148,0.2312982
264,297,1149,0.22956906
265,297,1149,0.21299833
270,297,1149,0.21831943
271,297,1148,0.23433888
272,297,1148,0.2566296
273,297,1148,0.26619026
274,297,1148,0.21495847
275,297,1149,0.22314757
276,297,1149,0.21351987
277,297,1149,0.20864397
278,297,1132,0.2235953
279,297,1149,0.21993203
280,297,1148,0.2575352
281,297,1148,0.27253908
282,297,1148,0.27001318
283,297,1148,0.24702485
284,297,1148,0.2205987
285,297,1148,0.22027569
286,297,1148,0.21913832
287,297,1149,0.22301458
289,297,1148,0.24830894
290,297,1148,0.22973932
291,297,1148,0.2468444
292,297,1148,0.24666096
293,297,1148,0.21899724
307,460,938,0.20870253
324,416,942,0.23417175
331,297,1148,0.20089243
332,297,1148,0.21405175
345,159,1220,0.2016267
358,425,935,0.20066954
363,413,918,0.23366174
366,409,911,0.43766475
367,408,910,0.24366383
367,490,952,0.23382801
368,487,941,0.44951755
391,297,1148,0.20921898
392,297,1149,0.22922815
393,297,1148,0.22782461
394,297,1148,0.23562568
395,297,1148,0.24630226
396,297,1149,0.25336316
397,297,1148,0.22409591
398,297,1148,0.22413509
401,297,1148,0.20920883
402,297,1133,0.21499488
402,159,1220,0.20837589
403,297,1132,0.20958957
403,159,1220,0.2064045
404,297,1148,0.21360116
405,297,1148,0.23657481
406,297,1148,0.23876046
406,159,1220,0.21801947
407,297,1133,0.22927667
407,159,1220,0.21906498
408,297,1133,0.24079362
408,159,1220,0.23598182
409,159,1220,0.20850478
412,297,1149,0.21516944
412,159,1219,0.20528221
413,159,1219,0.24104548
413,297,1149,0.22198439
414,159,1219,0.25104487
414,297,1149,0.20844324
415,159,1219,0.24589208
415,297,1132,0.217282
416,159,1220,0.26569408
416,297,1132,0.23347487
417,159,1220,0.24930899
417,297,1133,0.22864623
418,297,1132,0.2468528
418,298,1160,0.22781758
418,159,1220,0.21824041
419,297,1132,0.21648951
419,298,1160,0.21160142
420,297,1131,0.21611178
420,302,1160,0.21463828
421,297,1131,0.222453
421,302,1160,0.20724423
421,159,1219,0.20144479
422,297,1132,0.23942715
422,302,1160,0.23267435
423,297,1131,0.2457093
423,302,1160,0.2215815
424,297,1131,0.21176378
425,297,1132,0.22048037
426,297,1132,0.21158028
427,297,1132,0.20292774
428,297,1132,0.20663546
429,297,1132,0.22559366
430,297,1132,0.23091324
430,159,1219,0.2016585
431,297,1132,0.233882
432,297,1148,0.26300335
432,159,1220,0.20934126
433,297,1133,0.25501204
434,297,1148,0.2073231
435,297,1148,0.22285566
436,297,1148,0.20674767
437,297,1149,0.21773121
438,297,1149,0.2560189
439,297,1149,0.22313793
441,159,1220,0.2672464
441,296,1132,0.22353917
442,159,1220,0.31628585
443,159,1219,0.43040526
444,159,1219,0.44396544
445,159,1219,0.4861321
446,159,1219,0.29048428
447,159,1219,0.25418413
448,159,1219,0.2697745
449,159,1219,0.32812935
450,159,1219,0.25108266
451,159,1220,0.31494305
452,159,1220,0.46152523
453,159,1220,0.35959616
454,320,829,0.4991389
455,317,788,0.422773
456,309,710,0.3600417
458,303,619,0.4657983
464,297,1132,0.21303973
465,297,1149,0.2166496
468,297,1132,0.21059448
468,159,1219,0.2083294
470,159,1220,0.2027016
471,159,1219,0.21382299
481,388,852,0.4200441
482,386,850,0.5376614
483,384,850,0.5291275
484,382,851,0.6818776
485,381,852,0.27367556
486,382,857,0.20464323
491,297,1148,0.20597519
492,297,1149,0.27599382
492,159,1220,0.2577093
493,297,1147,0.2584527
493,159,1220,0.20263799
497,271,587,0.29177582
498,159,1220,0.23296735
499,159,1220,0.3789915
499,297,1133,0.25474265
500,159,1220,0.2658455
501,159,1220,0.3940279
501,335,1040,0.21078631
502,159,1220,0.503304
503,159,1220,0.5945503
504,159,1220,0.5980268
505,159,1220,0.527134
506,159,1220,0.32196495
507,297,577,0.38302743
508,297,587,0.32553816
509,302,593,0.58078974
510,305,602,0.4465909
511,306,609,0.6267516
512,309,619,0.6705362
513,312,632,0.43332174
514,317,639,0.52253586
515,159,1220,0.30979955
516,159,1219,0.3633978
522,341,746,0.24644461
523,347,761,0.45232385
524,350,776,0.3579968
525,353,796,0.43306807
526,356,808,0.5105127
527,358,820,0.4052968
528,366,771,0.303933
529,159,1219,0.23692034
530,159,1219,0.21308315
534,378,575,0.6130024
535,159,1220,0.2002119
536,159,1219,0.3434721
537,159,1220,0.2547398
538,159,1219,0.2953864
539,159,1219,0.45062205
540,159,1219,0.46780792
541,159,1219,0.38457745
542,159,1219,0.23813228
546,159,1220,0.29174948
547,159,1220,0.2258228
548,414,471,0.4235264
548,159,1219,0.37861624
549,159,1219,0.44262403
549,415,482,0.2553292
550,159,1219,0.47191286
550,416,492,0.22927046
551,159,1220,0.28701243
552,417,530,0.24444513
553,422,551,0.42535016
554,425,574,0.66223234
555,159,1220,0.25564325
555,426,604,0.24230999
556,429,633,0.22556075
557,159,1219,0.57618505
558,159,1219,0.5327901
559,399,588,0.494946
560,159,1219,0.29431018
561,159,1220,0.45783797
562,159,1220,0.4196598
563,159,1220,0.49596938
564,159,1220,0.51939416
565,159,1220,0.4934004
566,159,1220,0.5866658
567,159,1220,0.5672007
568,159,1220,0.52522904
569,159,1220,0.5297564
570,159,1220,0.5034606
571,159,1220,0.56255376
572,159,1220,0.58417577
573,159,1220,0.56189764
574,159,1220,0.5000508
575,159,1220,0.49682942
576,159,1220,0.5355554
577,159,1220,0.45189956
578,354,572,0.41304648
580,159,1220,0.346149
581,357,608,0.60132736
582,361,620,0.47972754
583,363,634,0.40299228
584,365,648,0.34359702
585,159,1220,0.5460271
586,159,1220,0.5533355
588,159,1220,0.4137575
588,430,852,0.2027922
589,381,724,0.3586801
590,383,740,0.34779003
591,385,758,0.5555076
592,388,775,0.51177824
593,392,792,0.66132015
594,396,783,0.47939143
595,441,1563,0.42785817
595,159,1219,0.24536209
596,438,1580,0.3184428
596,159,1219,0.27727503
597,401,592,0.26997164
598,159,1219,0.3388352
599,159,1219,0.43342876
600,159,1219,0.3494878
