frame,x,y,prob
0,713,527,0.42636436
0,281,103,0.40563118
0,778,75,0.34341004
1,281,103,0.4181994
1,713,527,0.39560255
1,778,75,0.36061075
2,281,103,0.45908225
2,713,527,0.42865956
2,778,75,0.3667804
3,281,103,0.44969842
3,713,527,0.43974957
3,778,75,0.3809657
4,281,103,0.4533373
4,778,75,0.38339102
4,713,527,0.37726316
5,281,103,0.4277243
5,713,527,0.42374223
5,778,75,0.35413978
6,713,527,0.4284637
6,281,103,0.4072577
6,778,75,0.3544222
7,713,527,0.41128394
7,281,103,0.41126156
7,778,75,0.35398763
8,713,527,0.45703647
8,281,103,0.43616745
8,777,75,0.34405324
8,1175,517,0.23009974
9,713,527,0.47649258
9,281,103,0.45963868
9,777,75,0.32071534
10,713,527,0.5091938
10,281,103,0.45057738
10,777,75,0.31387326
11,713,527,0.4880589
11,281,103,0.4526878
11,777,75,0.3127172
12,713,527,0.49918082
12,281,103,0.4629318
12,777,75,0.33918768
12,1175,517,0.21284474
13,281,103,0.46091998
13,713,526,0.38156423
13,777,75,0.32866687
14,281,103,0.4550443
14,713,526,0.44391075
14,777,75,0.33591652
15,281,102,0.48911718
15,713,527,0.46140933
15,778,75,0.31199482
16,713,527,0.5006524
16,281,102,0.4789817
16,777,75,0.30526534
17,713,527,0.5948532
17,281,103,0.44870114
17,777,75,0.32016155
18,713,527,0.62315995
18,281,102,0.426844
18,777,75,0.32357603
19,713,527,0.6530064
19,281,103,0.40526465
19,777,75,0.28700545
20,713,527,0.6471098
20,281,102,0.42642033
20,777,75,0.30048394
21,713,527,0.64984876
21,281,103,0.4106287
21,778,75,0.3043498
22,713,527,0.66424966
22,281,103,0.37388662
22,777,75,0.30961525
23,713,528,0.65879315
23,281,103,0.38541257
23,777,75,0.34188008
24,713,528,0.65909934
24,281,103,0.41114223
24,777,75,0.35777345
25,713,527,0.68334466
25,281,103,0.46342665
25,777,75,0.3803553
26,713,527,0.66100645
26,281,103,0.3729159
26,777,75,0.32528207
27,713,527,0.6425035
27,281,103,0.40525153
27,777,75,0.3288383
28,713,527,0.6072976
28,281,103,0.42597008
28,777,75,0.32496962
29,713,527,0.57418174
29,281,103,0.38910538
29,777,75,0.3499104
30,713,527,0.5448266
30,281,103,0.37767896
30,777,75,0.33387855
31,713,527,0.5322387
31,281,103,0.40057918
31,777,75,0.30966595
32,713,527,0.51551425
32,281,103,0.39486086
32,777,75,0.31353033
32,715,503,0.20988142
33,713,527,0.5045871
33,281,103,0.4117022
33,777,75,0.32316577
33,715,504,0.208617
34,777,75,0.4643633
34,281,103,0.3767076
34,713,527,0.3421031
35,777,75,0.4745652
35,281,103,0.31287986
35,713,527,0.24917199
